Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 8239, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
8, 8226, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
9, 8213, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
10, 8200, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
11, 8187, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
12, 8174, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
13, 8161, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
14, 8148, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
15, 8135, 205, 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
16, 8118, 204, 1, 0, 204, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1
17, 8104, 204, 1, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
18, 8090, 204, 1, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
19, 8076, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0
20, 8050, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
21, 8024, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
22, 7998, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
23, 7972, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
24, 7946, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
25, 7920, 204, 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
26, 7890, 203, 1, 0, 203, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1
27, 7859, 203, 1, 0, 203, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1
28, 7832, 203, 0, 0, 203, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0
